mission_phase,B_Fuel_kW,B_Eng_Air_kW,W_Bat_Power_out_kW,W_Electric_Motor_in_kW,W_Mec_Engine_out_kW,W_Mec_Hydraulic_Electric_MT_kW,W_Mec_Motor_out_kW,B_Thrust_kW,B_Eng_Gases_kW,B_Bleed_MT_kW,B_Bat_Heat_kW,B_Inverter_Heat_kW,B_Motor_Heat_kW,B_Prop_Air_kW,B_Dest_Engine_kW,B_Dest_Bat_kW,B_Dest_Inverter_kW,B_Dest_Motor_kW,B_Dest_Prop_kW,P_dissipada_Bat_kW,P_loss_Inv_kW,T0_env_K,I_bat_A,Voc_bat_V,Vload_bat_V,eta_ex_engine,eta_ex_bat,eta_ex_inverter,eta_ex_motor,eta_ex_prop
descent_11,3625.075647,54.674589,0.710152,0.000000,146.652733,29.828000,0.000000,49.412979,1135.023526,1.170603,0,0,0,12.046886,2367.075374,0.000046,0.710152,0.000000,85.192868,0.000046,0.710152,558.328413,0.951566,746.346380,746.298408,0.047960,0.999936,0,0.000000,0.336939
descent_12,4635.060783,31.300762,0.710152,0.000000,320.320407,29.828000,0.000000,221.302065,1452.469709,1.170140,0,0,0,10.795353,2862.573288,0.000046,0.710152,0.000000,88.222989,0.000046,0.710152,558.328413,0.951566,746.346380,746.298408,0.075037,0.999936,0,0.000000,0.690877
descent_12,4659.442583,31.482929,0.710152,0.000000,320.374981,29.828000,0.000000,220.598151,1457.778943,1.144351,0,0,0,10.886909,2881.799237,0.000046,0.710152,0.000000,88.889921,0.000046,0.710152,559.071270,0.951574,746.339990,746.292017,0.074655,0.999936,0,0.000000,0.688562
descent_12,4714.778802,31.882154,0.710152,0.000000,320.751996,29.828000,0.000000,219.394247,1470.626479,1.092764,0,0,0,11.076095,2924.361717,0.000046,0.710152,0.000000,90.281654,0.000046,0.710152,560.557063,0.951591,746.327214,746.279241,0.073858,0.999936,0,0.000000,0.684000
descent_12,4752.021936,32.133017,0.710152,0.000000,321.072565,29.828000,0.000000,218.892799,1480.321570,1.066966,0,0,0,11.173714,2951.865853,0.000046,0.710152,0.000000,91.006052,0.000046,0.710152,561.300000,0.951599,746.320828,746.272854,0.073346,0.999936,0,0.000000,0.681755
reserve_climb_1,12202.143600,113.269372,44.827746,345.402465,1766.303872,29.828000,335.468797,1464.690226,4525.198778,1.067330,0,0,0,325.173515,5993.014992,0.278096,0.000000,9.933668,311.908928,0.278096,0.000000,561.300000,60.437602,746.320828,741.719459,0.145844,0.993835,1,0.971240,0.696883
reserve_climb_1,12104.071794,112.399785,44.828032,345.402465,1753.227899,29.828000,335.468797,1453.543464,4493.383249,1.093507,0,0,0,325.248449,5938.938924,0.278184,0.000000,9.933668,309.904783,0.278184,0.000000,560.546177,60.447136,746.209315,741.607205,0.145955,0.993833,1,0.971240,0.695909
reserve_climb_1,11911.391429,110.690965,44.828601,345.402465,1727.455888,29.828000,335.468797,1431.555263,4430.703421,1.145096,0,0,0,325.410789,5832.949989,0.278361,0.000000,9.933668,305.958633,0.278361,0.000000,559.060418,60.466120,745.987371,741.383784,0.146171,0.993829,1,0.971240,0.693945
reserve_climb_1,11816.762043,109.851549,44.828884,345.402465,1714.758650,29.828000,335.468797,1420.713261,4399.835864,1.170510,0,0,0,325.498036,5781.020568,0.278449,0.000000,9.933668,304.016150,0.278449,0.000000,558.328413,60.475571,745.876938,741.272615,0.146277,0.993827,1,0.971240,0.692954
reserve_climb_2,11834.254208,119.884070,44.828884,345.402465,1719.634066,29.828000,335.468797,1434.422295,4416.594762,1.170603,0,0,0,326.477348,5786.910847,0.278449,0.000000,9.933668,294.203220,0.278449,0.000000,558.328413,60.475571,745.876938,741.272615,0.146348,0.993827,1,0.971240,0.697981
reserve_climb_2,11671.030918,118.305666,44.829388,345.402465,1697.040279,29.828000,335.468797,1415.047050,4363.151043,1.214746,0,0,0,326.598656,5698.102516,0.278605,0.000000,9.933668,290.863370,0.278605,0.000000,557.056907,60.492371,745.680708,741.075078,0.146477,0.993824,1,0.971240,0.696207
reserve_climb_2,11352.945877,115.229448,44.830388,345.402465,1652.332457,29.828000,335.468797,1376.666394,4258.401624,1.300698,0,0,0,326.867379,5526.312545,0.278916,0.000000,9.933668,284.267480,0.278916,0.000000,554.580732,60.525708,745.291632,740.683413,0.146681,0.993817,1,0.971240,0.692557
reserve_climb_2,11197.035474,113.678418,44.830884,345.402465,1629.839344,29.828000,335.468797,1357.344331,4207.337335,1.342488,0,0,0,327.009346,5442.366725,0.279070,0.000000,9.933668,280.954464,0.279070,0.000000,553.376716,60.542247,745.098773,740.489269,0.146734,0.993814,1,0.971240,0.690652
reserve_climb_3,11212.192424,122.208073,44.830884,345.402465,1633.909513,29.828000,335.468797,1367.543352,4221.482642,1.342580,0,0,0,327.454822,5447.837762,0.279070,0.000000,9.933668,274.380135,0.279070,0.000000,553.376716,60.542247,745.098773,740.489269,0.146787,0.993814,1,0.971240,0.694404
reserve_climb_3,11015.939562,120.083364,44.831538,345.402465,1605.376866,29.828000,335.468797,1342.929333,4157.344985,1.395927,0,0,0,327.613038,5342.077148,0.279273,0.000000,9.933668,270.303291,0.279273,0.000000,551.839628,60.564024,744.844989,740.233794,0.146839,0.993809,1,0.971240,0.691930
reserve_climb_3,10661.800666,116.284880,44.832831,345.402465,1554.098411,29.828000,335.468797,1298.566786,4041.599824,1.498987,0,0,0,328.032056,5151.060324,0.279674,0.000000,9.933668,262.968366,0.279674,0.000000,548.869911,60.607130,744.343198,739.728660,0.146958,0.993801,1,0.971240,0.687230
