mission_phase;B_Fuel_kW;B_Eng_Air_kW;B_Electric_Input_kW;W_Bat_Power_out_kW;W_Electric_Motor_in_kW;W_Mec_Engine_out_kW;W_Mec_Hydraulic_Electric_MT_kW;W_Mec_Motor_out_kW;B_Thrust_kW;B_Eng_Gases_kW;B_Bleed_MT_kW;B_Bat_Heat_kW;B_Inverter_Heat_kW;B_Motor_Heat_kW;B_Prop_Air_kW;B_Dest_Engine_kW;B_Dest_Bat_kW;B_Dest_Inverter_kW;B_Dest_Motor_kW;B_Dest_Prop_kW;P_dissipada_Bat_kW;P_loss_Inv_kW;T0_env_K;I_bat_A;Voc_bat_V;Vload_bat_V;eta_ex_engine;eta_ex_bat;eta_ex_inverter;eta_ex_motor;eta_ex_prop;eta_ex_global
reserve_descent_3;3349,257268;103,082855;0;0;0;172,713949;29,828;0;109,140231;866,448979;1,789267;0;0;0;0;2381,559927;0;0;0;103,62837;0;0;540,512224;0;0;0;0,058668;0;0;0;0,631913;0,031613
reserve_descent_3;3462,980434;106,318521;0;0;0;184,820518;29,828;0;114,883192;893,217041;1,720647;0;0;0;0;2459,712749;0;0;0;110,892311;0;0;542,489364;0;0;0;0,060137;0;0;0;0,621593;0,032186
reserve_descent_3;3501,828107;107,379083;0;0;0;184,820518;29,828;0;114,733103;901,895709;1,686376;0;0;0;0;2490,976586;0;0;0;110,892311;0;0;543,476874;0;0;0;0,059472;0;0;0;0,620781;0,031789
reserve_descent_4;3505,583341;101,104172;0;0;0;184,820518;29,828;0;115,188651;896,776643;1,686264;0;0;0;0;2493,576088;0;0;0;110,892311;0;0;543,476874;0;0;0;0,059514;0;0;0;0,623246;0,031938
reserve_descent_4;3535,382187;101,839246;0;0;0;184,820518;29,828;0;115,662558;903,060475;1,652047;0;0;0;0;2517,860394;0;0;0;110,892311;0;0;544,46286;0;0;0;0,059014;0;0;0;0,62581;0,0318
reserve_descent_4;3609,301883;103,715887;0;0;0;184,820518;29,828;0;114,857589;919,209148;1,583198;0;0;0;0;2577,576905;0;0;0;110,892311;0;0;546,446821;0;0;0;0,05781;0;0;0;0,621455;0,030934
reserve_descent_4;3698,549619;106,15276;0;0;0;197,943651;29,828;0;121,129016;940,568234;1,548863;0;0;0;0;2634,813632;0;0;0;118,76619;0;0;547,436243;0;0;0;0,059866;0;0;0;0,611937;0,031837
reserve_descent_5;3692,55481;97,896634;0;0;0;194,820557;29,828;0;120,058951;931,362239;1,548739;0;0;0;0;2632,891909;0;0;0;116,892334;0;0;547,436243;0;0;0;0,059267;0;0;0;0,616254;0,031674
reserve_descent_5;3799,978802;100,563457;0;0;0;210,140479;29,828;0;127,388832;956,353434;1,49695;0;0;0;0;2702,723396;0;0;0;126,084287;0;0;548,928604;0;0;0;0,061522;0;0;0;0,606208;0,032659
reserve_descent_5;3973,168443;104,775644;0;0;0;226,952921;29,828;0;135,347188;995,570224;1,393839;0;0;0;0;2824,199104;0;0;0;136,171752;0;0;551,899796;0;0;0;0,062968;0;0;0;0,596367;0,03319
reserve_descent_5;4071,954849;107,194648;0;0;0;238,568506;29,828;0;140,939922;1018,114537;1,34258;0;0;0;0;2891,295874;0;0;0;143,141104;0;0;553,376716;0;0;0;0,064223;0;0;0;0,590773;0,033725
